initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
53,621,1,1,1,-103836.88056915942,0.01,37751.87,-102127.30583903793
38,318,2,1,5,-234147.52690218712,0.31,75290.88,-234147.52690218712
39,318,3,1,5,48841.01844383768,0.12,88026.35,48841.01844383768
56,614,1,1,1,17052.563325526007,0.1,79522.49,17052.563325526007
36,360,2,1,5,-41291.95872972282,0.25,73312.87,-41291.95872972282
35,332,1,1,1,154144.34565725044,0.12,159441.68,154144.34565725044
41,562,1,1,1,-60060.31403003638,0.15,21611.6,-1761.2450867695588
53,551,3,1,3,-22383.21130112624,0.18,122493.94,-22383.21130112624
51,551,3,1,3,68897.18315702399,0.24,20579.23,81377.54570502648
46,551,2,1,5,-36004.11969600011,0.21,130420.85,-36004.11969600011
61,521,3,1,3,-281223.5202413987,0.09,161155.25,-281223.5202413987
58,578,1,1,1,295660.46547998633,0.24,63965.45,296660.46547998633
63,638,2,1,3,141930.75546871268,0.23,51753.44,141930.75546871268
58,578,1,1,1,-218667.17030405908,0.29,160078.61,-218667.17030405908
58,613,1,1,1,-142302.07128242185,0.17,56648.2,-141302.07128242185
60,656,3,1,3,23880.757771127057,0.31,69421.76,23880.757771127057
61,525,2,1,5,-65315.48036080689,0.2,28219.27,-65315.48036080689
61,545,1,1,1,-117564.03148357036,0.26,39916.74,-117564.03148357036
60,299,1,1,1,566626.7210408133,0.09,52771.61,566626.7210408133
44,304,1,1,1,58241.12243267061,0.2,104522.24,58241.12243267061
40,286,3,1,5,-149009.61201093585,0.07,57160.46,-149009.61201093585
40,336,1,1,1,68205.02537586076,0.2,95143.59,68205.02537586076
59,308,1,1,1,-5160.777793190488,0.05,144027.12,-5160.777793190488
48,302,1,1,1,-15102.0281018622,0.2,87203.32,-15102.0281018622
42,337,1,1,1,12453.799121462103,0.29,14758.88,81781.75784208353
54,621,1,1,1,-98606.17089825076,0.09,10895.86,-94987.46380937634
63,354,3,1,3,-141460.4576426003,0.32,21636.64,-141460.4576426003
46,308,1,1,1,-112742.5766807204,0.31,64365.24,-99742.5766807204
35,344,1,1,1,85714.04587024963,0.33,58251.76,109714.04587024963
61,350,3,1,3,41240.72846860808,0.12,198938.74,41240.72846860808
47,644,1,1,1,123068.31747253932,0.09,52899.96,142791.63935606167
59,613,3,1,3,-75397.65738214241,0.01,25503.55,-75397.65738214241
52,569,2,1,3,1848.4674081593148,0.04,54640.49,1848.4674081593148
48,593,3,1,5,19046.270499889462,0.25,160142.23,19046.270499889462
61,619,3,1,3,-52402.52717317276,0.16,113877.45,-52402.52717317276
39,318,3,1,3,95933.85247965416,0.05,57786.34,95933.85247965416
37,318,2,1,3,7424.720190636249,0.25,63316.68,7424.720190636249
59,593,2,1,3,137729.87877768106,0.28,37000.06,137729.87877768106
45,593,3,1,3,40014.55173178135,0.01,215954.02,40014.55173178135
58,587,1,1,1,371793.1304393215,0.23,62727.65,372793.1304393215
47,578,3,1,3,-99001.55058647488,0.25,28268.3,-87048.902040095
63,615,3,1,3,-195721.7965811589,0.01,111729.39,-195721.7965811589
49,305,1,1,1,91594.17743422095,0.04,75531.16,91594.17743422095
49,302,1,1,1,162338.2463931727,0.13,112679.4,162338.2463931727
49,294,1,1,1,192751.98608077937,0.07,32318.91,211454.36732757458
62,621,2,1,3,33630.11407302681,0.1,125234.53,33630.11407302681
59,578,1,1,1,24171.20366299901,0.14,110307.02,24171.20366299901
52,625,2,1,5,256293.80563945996,0.01,57453.19,256293.80563945996
47,660,1,1,1,-126034.98436208656,0.18,29245.92,-72779.39565840233
53,569,2,1,3,45757.19302455328,0.18,77382.99,45757.19302455328
51,594,1,1,1,-33427.59410116461,0.09,80367.6,-33427.59410116461
61,621,1,1,1,100153.81049732308,0.02,88950.05,100153.81049732308
60,656,1,1,1,-88379.62579785292,0.07,43351.34,-88379.62579785292
48,295,2,1,3,-224387.47380531963,0.33,102636.11,-224387.47380531963
48,316,3,1,4,-23648.75344788534,0.35,44450.44,-23648.75344788534
52,551,3,1,3,13119.787106220894,0.19,90855.46,13119.787106220894
61,572,2,1,3,-100762.9845913296,0.29,84754.5,-100762.9845913296
61,234,2,3,3,37497.14759878947,0.32,29860.2,37497.14759878947
46,320,3,1,5,-128427.9618024882,0.05,70151.9,-128427.9618024882
42,320,3,1,3,-141939.99621777798,0.06,53562.48,-141939.99621777798
39,345,2,1,5,111441.6532049696,0.1,60305.96,111441.6532049696
52,281,1,1,1,-185846.0331145129,0.28,58115.38,-178846.0331145129
47,336,1,1,1,78009.97737503791,0.26,99067.06,78009.97737503791
43,286,1,1,1,-125129.87124045928,0,51966.2,-125129.87124045928
45,660,3,1,5,141408.59409807788,0.24,53886.98,141408.59409807788
51,294,1,1,1,-103227.75913656502,0.26,23442.32,-65736.00407592495
48,647,2,1,3,268609.7489375139,0.23,73566.19,268609.7489375139
43,647,3,1,3,-101251.57768616812,0.12,85494.99,-101251.57768616812
62,551,1,1,1,81473.81949865304,0.01,109908.68,81473.81949865304
55,616,2,1,3,-27932.26234443296,0.2,30310.7,-24431.655554132674
60,591,1,1,1,14841.9098354652,0.22,94887.7,14841.9098354652
56,578,3,1,3,-80557.92261113154,0.05,26025.03,-79455.40673317313
41,313,1,1,1,41117.70627242291,0.33,114119.75,41117.70627242291
44,343,1,1,1,-110688.9967095426,0.34,157461.39,-110688.9967095426
56,614,3,1,3,71227.91380542977,0.07,22644.36,72570.93139367802
42,301,1,1,1,-121148.04553647494,0.25,123353.9,-121148.04553647494
36,309,1,1,1,-283621.484612912,0.35,48445.99,-237621.484612912
38,309,1,1,1,-89224.19803506618,0.04,88139.92,-89224.19803506618
56,309,2,1,3,34649.310858522986,0.32,69145.72,34649.310858522986
39,309,3,1,5,-143656.70286273304,0.27,32475.48,-123656.70286273304
59,616,2,1,2,8308.1430673426,0.14,164074.42,8308.1430673426
63,579,3,1,3,-19851.525100317973,0.02,36641.65,-19851.525100317973
43,579,2,1,3,110978.578445517,0.1,11150.01,127962.74989271107
56,666,1,1,1,-92243.11306176538,0.21,50002.81,-86243.11306176538
44,666,3,1,5,169697.1079381156,0.02,60947.42,169697.1079381156
41,328,1,1,1,32657.40996676645,0.13,38868.96,114397.90405405534
38,328,1,1,1,-3020.0150899846744,0.13,63013.24,17979.984910015326
42,591,1,1,1,-64389.0430594834,0.2,19861.26,996.2531262114717
48,660,1,1,1,-274492.0067383053,0.06,43646.5,-264743.2789057555
40,300,3,1,2,74757.44698667098,0.13,53896.68,74757.44698667098
41,300,2,1,5,-157394.15669368842,0.26,74255.69,-157394.15669368842
63,663,3,1,3,-105870.1895272634,0.08,42006.6,-105870.1895272634
60,614,1,1,1,62668.138839211264,0.02,101508.46,62668.138839211264
56,550,2,1,3,634590.6708282295,0.23,140292.64,634590.6708282295
52,587,3,1,3,-301269.1922862795,0.01,48102.79,-301269.1922862795
62,278,3,1,3,-34827.19201069689,0.1,77767.88,-34827.19201069689
40,345,1,1,1,70789.52191176618,0.07,111472.45,70789.52191176618
57,359,2,4,3,52285.80463702983,0.01,95411.43,52285.80463702983
50,317,3,1,3,7417.363575260744,0.16,84297,7417.363575260744
47,315,1,1,1,-123906.24690713736,0.29,65756.83,-111906.24690713736
63,656,1,1,1,62001.814097117844,0.31,120827.57,62001.814097117844
53,621,3,1,5,-91037.871744777,0.01,20949.18,-90658.40244966907
60,656,3,1,3,234119.84024046463,0.18,106481.19,234119.84024046463
57,551,1,1,1,88725.62806231248,0.02,140781.32,88725.62806231248
61,521,1,1,1,-12888.94858958734,0.31,29014.57,-12888.94858958734
50,551,3,1,5,-97233.82075859056,0.07,19770.57,-87171.08774427921
42,278,2,1,3,-13350.80457041318,0.34,86024.03,-13350.80457041318
53,331,1,1,1,21537.37814086863,0.29,55537.47,33537.378140868634
42,332,3,4,3,58061.34464492171,0.32,48537.79,58061.34464492171
38,313,3,1,2,-35402.143310300984,0.02,146662.65,-35402.143310300984
37,357,2,1,5,151715.25589027497,0.18,42247.37,151715.25589027497
55,616,2,1,3,47156.2698422152,0.17,87771.61,47156.2698422152
51,594,1,1,1,-61201.89511457091,0.35,23320.12,-21201.895114570907
45,591,3,1,3,-79096.04505367641,0.22,42604.06,-79096.04505367641
57,562,2,1,3,236171.9968276771,0.25,24846.6,239604.58225888325
57,613,1,1,1,47872.33536446839,0.02,36325.84,48876.02640598172
56,550,2,1,3,726941.1368131585,0.17,41008.89,726941.1368131585
47,593,1,1,1,489696.7837195629,0.09,88146.36,489696.7837195629
58,614,1,1,1,740381.6431887951,0.02,13044.17,740557.9706444511
38,318,1,1,1,116477.6065014968,0.04,30077.11,143645.5624041969
57,545,2,1,3,16467.99678445813,0.22,91619.36,16467.99678445813
54,561,1,1,1,77480.99346966618,0.03,120044.24,77480.99346966618
52,294,1,1,1,14255.68297581187,0.14,180701.58,14255.68297581187
51,315,1,1,1,18151.864244254142,0.13,28341.54,41427.07620752817
35,313,1,1,1,-55020.413722034325,0.04,140469.02,-55020.413722034325
57,660,1,1,1,71160.93739660742,0.07,86435.52,71160.93739660742
38,313,1,1,1,77018.3531855649,0.32,168009.51,77018.3531855649
41,300,1,1,1,94420.47725503628,0.09,12123.9,114043.6078504926
50,322,3,1,3,-97046.9446753114,0.06,97117.62,-97046.9446753114
36,306,2,1,5,7789.398865698812,0.16,94730.34,7789.398865698812
37,306,3,1,3,-26954.691312988783,0.16,45720.41,-26954.691312988783
49,338,2,1,3,-60172.45841953243,0.16,87047.13,-60172.45841953243
45,266,1,1,1,-107629.67983594596,0.19,133606.92,-107629.67983594596
50,336,1,1,1,448467.57118270645,0.31,98259.53,448467.57118270645
35,338,1,4,1,81187.16888335101,0.04,7315.7,89326.32312401306
56,578,3,1,3,10963.066074047883,0.12,110367.45,10963.066074047883
47,315,3,1,3,-55023.80023558719,0.08,22553.47,-47523.85692302437
41,315,2,1,3,19138.351018535013,0.13,33720.31,34242.6607635812
42,328,1,1,1,58195.93590851216,0.2,86326.63,58195.93590851216
58,616,2,1,5,-66794.24432638362,0.12,48719.25,-66794.24432638362
62,350,1,1,1,25021.72851917536,0.33,74804.85,25021.72851917536
48,660,2,1,3,29774.500860311487,0.31,3258.46,39175.22629544335
49,660,3,1,5,-39718.10504550262,0.22,34416.66,-29718.10504550262
51,331,3,1,3,85609.03374787928,0.27,74450.97,85609.03374787928
46,352,1,1,1,89115.88198097725,0.16,72442.97,89115.88198097725
47,567,2,1,3,26681.19872580972,0.06,79478.97,26681.19872580972
46,295,2,1,2,650593.3372563366,0.15,12720.97,672584.7551774374
51,587,1,1,1,114763.87312870266,0.01,46979.03,115950.98291235647
50,587,3,1,3,-91820.09719202736,0.14,15256.18,-76290.05772849378
54,551,3,1,2,-72022.03093471643,0.09,4243.51,-70612.68649391878
52,551,3,1,3,33970.87003446786,0.16,61110.34,33970.87003446786
55,294,1,1,1,17458.105848037885,0.14,57864.69,21458.105848037885
55,561,1,1,1,-108542.57872303748,0.25,175353.24,-108542.57872303748
58,545,2,1,5,-368455.2304815564,0.22,147944.41,-368455.2304815564
59,561,1,1,1,-106175.68692932502,0.24,95829.59,-106175.68692932502
46,308,1,1,1,440.23728343586095,0.01,56891.27,1751.5835037656948
51,538,2,1,3,-122836.98640889474,0.08,97494.22,-122836.98640889474
53,538,2,1,3,59514.00203537222,0.15,38065.19,59514.00203537222
39,586,2,1,4,-88044.8395738676,0.21,33020.69,-68128.86464943539
48,578,1,1,1,93821.44981223278,0.2,74689.1,93821.44981223278
62,591,3,1,3,96626.70014001676,0.23,107864.87,96626.70014001676
63,591,1,1,1,161912.4211704895,0.19,116974.18,161912.4211704895
54,625,2,1,5,-35319.092950118174,0.11,94859.55,-35319.092950118174
61,591,1,1,1,-128849.09742590223,0.08,91259.51,-128849.09742590223
62,578,1,1,1,43495.48439976342,0.05,16732.14,43495.48439976342
35,582,2,1,5,103381.52365128926,0.31,32164.98,127381.52365128926
49,315,3,1,3,23423.660990911107,0.06,87559.45,23423.660990911107
63,613,1,1,1,193679.03293037825,0.09,57040.03,193679.03293037825
42,644,3,1,5,-135678.515003635,0.31,49646.7,-135678.515003635
43,644,2,1,3,83667.53277496307,0.13,84971.86,83667.53277496307
41,644,3,1,5,36069.326710338224,0.25,86905.22,36069.326710338224
63,617,1,1,1,-11329.887872589165,0.13,129488.31,-11329.887872589165
63,617,3,1,3,-163064.06865838025,0.23,67804.83,-163064.06865838025
47,660,1,1,1,-78272.44926069249,0.16,15238.44,-52935.45318605525
56,614,3,1,3,-213453.64161984625,0.05,76634.05,-213453.64161984625
59,587,1,1,1,14956.151011245996,0.01,113256.34,14956.151011245996
61,619,1,1,1,-38794.263086583785,0.34,37651.69,-38794.263086583785
39,318,3,1,3,6494.397835068547,0.27,61230.98,6494.397835068547
52,313,3,1,5,-129588.2467615828,0.18,30783.84,-123599.891593354
51,551,3,1,3,19029.55437766952,0.15,51518.36,19029.55437766952
49,244,1,1,1,155551.47494866466,0.09,58934.54,164252.93218673693
53,551,1,1,1,238117.18968173448,0.3,12128.96,254594.80802380943
47,530,2,1,3,76260.40369285627,0.34,48731.76,76260.40369285627
53,344,1,2,1,-166212.05093496584,0.1,147362.33,-166212.05093496584
40,617,2,1,5,-434750.3402374457,0,83830.82,-434750.3402374457
40,329,3,1,3,25779.912378864967,0.34,83473.1,25779.912378864967
45,336,1,1,1,-130434.70575222936,0.16,121122.01,-130434.70575222936
53,301,1,1,1,-166634.7944530859,0.08,38815.39,-152572.9088015809
56,316,2,1,2,38981.59201172336,0.3,91818.23,38981.59201172336
50,304,1,1,1,-103524.90130094445,0.29,102214.15,-103524.90130094445
38,301,1,1,1,124756.04376335394,0.14,53199.26,166756.04376335396
47,341,1,1,1,-151945.15167919674,0.04,92675.68,-151945.15167919674
35,315,1,1,1,58147.96515061047,0.08,117185.82,58147.96515061047
39,315,3,1,3,97732.98624588546,0,8555.79,97732.98624588546
37,347,2,1,5,89659.52713612258,0.1,69594.96,89659.52713612258
51,288,1,1,1,621080.6180962581,0.03,30197.71,626803.5965695695
57,293,3,1,2,-142543.5313575417,0.06,30084,-142044.79478942018
41,324,1,4,1,-100639.21801273512,0.1,43786.12,-70453.77902889505
55,281,1,1,1,66372.76945837958,0.02,39865.98,68674.84628751873
58,566,1,1,1,-56551.21720925001,0.28,12798.47,-54129.1310880581
58,551,3,1,3,-100655.153904391,0.05,30689.71,-100447.72642992836
59,566,1,1,1,-120927.18353398096,0.34,18336.02,-120927.18353398096
35,312,1,1,1,-4757.795398838157,0.34,75884.01,-4757.795398838157
51,566,1,1,1,-220364.21186609476,0.34,42189.63,-204364.21186609476
57,551,1,1,1,-127322.91624256223,0.31,75200.96,-127322.91624256223
44,300,1,1,1,125012.24935493604,0.25,52244.51,155012.24935493604
35,337,1,1,1,4125.320732225942,0.35,10346.26,99159.38042719442
59,551,3,1,3,81749.39001199297,0.31,63156.53,81749.39001199297
55,588,2,1,3,-51691.74076581283,0.08,35857.98,-51691.74076581283
62,564,1,1,1,14069.463058460571,0.13,5960.53,14069.463058460571
36,298,1,1,1,-39275.235548915065,0.31,26826.4,75724.764451084935
54,625,3,1,4,-167077.00076790125,0.32,59341.81,-167077.00076790125
56,385,2,4,3,-25182.237777407743,0.23,21436.99,-21004.749393612467
43,327,1,1,1,490431.8440233152,0.09,107067.02,490431.8440233152
63,588,3,1,3,-279468.99255383364,0.12,100852.87,-279468.99255383364
36,303,1,1,1,212507.27896132952,0.23,22669.1,320417.8943169435
53,310,2,1,3,4365.179627311174,0.27,43176.58,4365.179627311174
56,585,1,1,1,-76687.50259198,0.13,115776.71,-76687.50259198
54,545,2,1,5,10668.670791465876,0.07,59791.72,10668.670791465876
48,301,1,1,1,-42776.0983490568,0.01,56674.98,-41721.20476282957
42,286,1,1,1,-59335.26128276462,0.03,49813.22,-49425.2957833079
48,301,1,1,1,-43565.3252496238,0.28,19242.92,5472.0335861104395
56,535,2,1,3,235591.96762023872,0.1,79088.86,235591.96762023872
56,535,3,1,3,48907.18992828699,0.08,152621.63,48907.18992828699
51,526,1,1,1,6622.026348388753,0.35,46060.52,22622.026348388754
47,294,3,1,5,59834.15437568378,0.15,82777.01,59834.15437568378
53,526,1,1,1,13193.098606041342,0.33,27203.52,43193.09860604134
42,588,2,1,5,109451.81442640508,0.07,6121.54,116555.84811172012
42,588,2,1,3,126344.67999872568,0.07,45251.94,126344.67999872568
38,301,1,1,1,-246397.6881926916,0.33,37709.43,-141397.6881926916
50,526,3,1,4,68296.9086503052,0.31,94159.15,68296.9086503052
46,300,1,1,1,138401.45916765791,0.03,36210.35,150921.21104065716
54,566,1,1,1,70926.68818521428,0.13,101969.84,70926.68818521428
48,248,1,1,1,62828.05990010226,0.07,11307.45,70194.36998711915
36,586,3,1,3,-260095.45141134868,0.02,26995.62,-254481.58073365764
41,586,2,1,3,123507.94850517112,0.25,35925.99,123507.94850517112
53,375,1,4,1,11884.943377088151,0.27,18441.8,34433.393346977566
63,625,1,1,1,276598.79118703713,0.14,146135.45,276598.79118703713
43,327,1,1,1,63981.73380278045,0.17,57630.81,79981.73380278045
56,592,1,1,1,-21356.73371809906,0.22,75750.57,-21356.73371809906
42,327,2,1,3,89442.35528100336,0.23,218464.46,89442.35528100336
38,685,2,1,3,15213.944014885476,0.05,35075.72,23134.71511137261
36,615,1,1,1,88925.18560864846,0.18,48466.67,134925.18560864846
51,625,3,1,3,84091.39549693743,0.19,61246.11,84091.39549693743
39,303,3,1,3,10696.80670904247,0.18,69055.24,10696.80670904247
53,300,1,4,1,13275.576647414808,0.04,4047.9,14008.805231859367
50,298,3,1,3,66153.37942340296,0.08,18930.41,77164.93630857982
54,310,2,1,3,-176500.6932463185,0.13,68962.83,-176500.6932463185
51,591,1,1,1,-247708.59971722652,0,13491.09,-247708.59971722652
44,566,2,1,5,596927.8623823457,0,30332.45,596927.8623823457
43,566,3,1,5,147872.22374847528,0.11,100832.98,147872.22374847528
46,529,2,1,5,-120185.04241291981,0.26,73831.05,-120185.04241291981
57,585,1,1,1,-261769.52816732225,0.02,34854.8,-260806.48228830777
45,301,1,1,1,-120704.82930860708,0.21,72216,-120704.82930860708
60,600,2,1,3,63963.6603607208,0.1,3190.42,63963.6603607208
45,657,2,1,5,138902.43088460105,0.2,58804.72,138902.43088460105
42,258,2,1,3,-268075.8639739269,0.11,163576.78,-268075.8639739269
44,258,3,3,5,-30174.03849919555,0.1,81455.87,-30174.03849919555
35,318,1,1,1,32804.57854218769,0.2,70401.35,56804.57854218769
63,586,1,1,1,-121730.26235176824,0.22,161118.67,-121730.26235176824
50,617,1,1,1,168583.90880287287,0.26,58729.14,177583.90880287287
43,294,1,1,1,86768.66478210689,0.03,65279.5,92734.85613074481
37,559,2,1,3,-189309.81529246276,0.03,31219.27,-184767.1472524624
52,526,1,1,1,42071.26082248847,0.24,31220.44,77071.26082248846
49,301,1,1,1,77075.4919742791,0.32,201701.18,77075.4919742791
62,497,1,1,1,65724.9258061016,0.19,51473.09,65724.9258061016
36,312,1,1,1,-33853.49444124648,0.07,89207.82,-33853.49444124648
61,265,1,1,1,31628.407449336733,0.26,60899.25,31628.407449336733
46,280,3,2,3,-103029.33382579136,0.06,42294.29,-103029.33382579136
50,273,2,1,4,-286255.75188316224,0.26,20752.6,-270621.45639211865
60,545,2,1,3,-273572.0997763754,0.02,144177.52,-273572.0997763754
49,349,1,1,1,55353.95342329539,0.14,73448.51,55353.95342329539
45,344,3,1,3,-125938.43660360535,0.05,84095.44,-125938.43660360535
41,344,2,1,3,199616.4719855535,0.12,20634.05,217428.32715264993
37,351,1,1,1,-156134.99332601434,0.23,47634.8,-112134.99332601434
43,336,3,1,3,-65252.16664561165,0.02,108656.33,-65252.16664561165
44,494,2,4,5,186719.76393955515,0.23,79189.41,186719.76393955515
50,363,1,1,1,138744.85456173166,0.3,55469.3,156744.85456173166
57,399,2,4,3,-6707.456422971889,0.3,45823.68,-6707.456422971889
54,395,3,4,3,21381.13863826985,0.25,63908.55,21381.13863826985
42,326,3,1,1,74495.63397385494,0.2,220440.35,74495.63397385494
35,310,3,1,3,-113470.98834138368,0.19,43241.23,-113470.98834138368
43,211,1,3,1,637190.4236497876,0.16,126434.27,637190.4236497876
42,303,2,1,5,237970.03012066003,0.26,103773.83,237970.03012066003
45,303,3,1,5,74749.1906880331,0.16,29443.75,86517.79313785576
40,324,2,1,3,278641.0802718428,0.01,42989.44,278641.0802718428
52,566,1,1,1,-227549.91950713508,0.03,188802.02,-227549.91950713508
52,566,1,1,1,631315.0886613143,0.04,68785.63,634288.6024913006
35,312,1,1,1,-83752.85956350208,0.1,24458.93,-15722.799613136405
46,607,2,1,3,-65961.5125990294,0.34,143516.57,-65961.5125990294
50,566,3,1,3,-42262.54237380959,0.23,58572.65,-42262.54237380959
52,300,1,4,1,1985.1268647017653,0.03,138062.76,1985.1268647017653
63,583,3,1,2,97134.6249281268,0.18,39773.65,97134.6249281268
49,563,3,1,3,64489.16411341445,0.09,62083.49,64489.16411341445
56,598,1,1,1,-16634.668089123497,0.2,54779.62,-10634.668089123497
60,625,2,1,2,22477.887654108235,0.29,37161.61,22477.887654108235
60,595,1,1,1,-67663.00942828038,0.19,5132.52,-67663.00942828038
52,592,1,1,1,263297.3903277824,0.14,16552.16,275819.138574219
50,572,2,1,5,182578.82766627212,0.33,65017.72,182578.82766627212
48,571,2,1,5,100664.6340075637,0.13,130196.45,100664.6340075637
48,345,2,1,3,51663.19223522304,0.29,90690.98,51663.19223522304
40,345,3,1,5,-127018.40898068246,0.13,165333.58,-127018.40898068246
41,329,1,1,1,-179527.40940697037,0.13,116615.28,-179527.40940697037
46,582,1,1,1,82270.07747763641,0.02,82921.53,82270.07747763641
49,505,2,1,3,363185.6261472594,0.07,34624.72,367192.9686845141
45,264,1,1,1,506849.723889321,0.01,42335.61,509001.72905955266
59,535,1,1,1,-76846.68053702933,0.05,63314.12,-76846.68053702933
59,595,1,1,1,-106968.795853667,0.14,52272.33,-106968.795853667
62,621,2,1,2,52894.36465202637,0.07,18556.61,52894.36465202637
45,594,1,1,1,116871.31242782422,0.14,108698.48,116871.31242782422
54,598,1,1,1,20583.09928389935,0.13,13136.63,26885.075032934772
37,330,1,1,1,173471.62914230872,0.22,163937.79,173471.62914230872
53,566,1,1,1,-129924.5541115557,0.34,8340.45,-117082.98713840658
47,588,1,1,1,86433.30992085015,0.34,79733.98,86433.30992085015
61,595,3,1,2,-140009.03920366548,0.24,77061.87,-140009.03920366548
57,620,2,1,5,16039.931860624998,0.24,257033.73,16039.931860624998
55,448,2,1,2,-118811.7923393027,0.24,76447.56,-118811.7923393027
36,298,3,1,3,129922.56630886934,0.35,113320.47,129922.56630886934
38,327,1,1,1,-4520.278360270936,0.11,21089.22,47865.58075988518
61,625,3,1,2,-124246.71508273532,0.15,84987.38,-124246.71508273532
